Method	Par	Deviation_train	RMS_train	Deviation_test	RMS_test
F	0.05	0.0188189	0.267753	0.0214378	0.272062
F	0.1	0.00585698	0.251409	0.00971121	0.256432
F	0.15	0.00571113	0.250787	0.00865302	0.253803
F	0.2	0.00159375	0.247982	0.00496821	0.251681
F	0.25	0.00493378	0.24818	0.00801312	0.252405
F	0.3	0.00199139	0.247124	0.00481738	0.25071
F	0.35	-0.000677847	0.245841	0.00213736	0.249887
F	0.4	0.00310325	0.246787	0.00610023	0.251257
F	0.45	0.000102616	0.24601	0.00298537	0.250247
F	0.5	0.00156508	0.246323	0.00530994	0.25066
F	0.55	0.000547815	0.246266	0.00331093	0.249811
F	0.6	-0.00085191	0.245302	0.00209552	0.249463
F	0.65	-0.000926068	0.245063	0.00194753	0.248943
F	0.7	0.000713552	0.24603	0.00328219	0.249621
F	0.75	-0.000510176	0.245082	0.00280677	0.249557
F	0.8	0.000508165	0.245997	0.00332124	0.249745
F	0.85	-0.000568129	0.245276	0.00189022	0.248441
F	0.9	-0.00131745	0.244905	0.00159942	0.248877
F	0.95	4.06896e-05	0.2455	0.00271817	0.249405
F	1.0	-0.000218475	0.245173	0.00279115	0.249671
