Method	Shrink	Deviation	RMS
F	0.05	0.0201284	0.269919
F	0.1	0.00778409	0.25394
F	0.15	0.00718207	0.252304
F	0.2	0.00328098	0.249844
F	0.25	0.00647345	0.250306
F	0.3	0.00340439	0.248927
F	0.35	0.000729758	0.247876
F	0.4	0.00460174	0.249037
F	0.45	0.00154399	0.248142
F	0.5	0.00343751	0.248508
F	0.55	0.00192937	0.248049
F	0.6	0.000621803	0.247396
F	0.65	0.000510731	0.247015
F	0.7	0.00199787	0.247836
F	0.75	0.0011483	0.247335
F	0.8	0.0019147	0.247882
F	0.85	0.000661045	0.246866
F	0.9	0.000140985	0.246903
F	0.95	0.00137943	0.247464
F	1.0	0.00128634	0.247437
