Method	Par	Deviation_train	RMS_train	Deviation_test	RMS_test
NT	50	0.00113073	0.252144	0.00209907	0.252146
NT	100	-0.000153915	0.250299	0.00114122	0.250741
NT	200	0.000730258	0.248986	0.00245189	0.249918
NT	300	0.00111771	0.248222	0.00301653	0.249497
NT	400	0.00103192	0.24742	0.00306738	0.249086
NT	500	0.000169417	0.246627	0.00244658	0.248752
NT	600	0.00179138	0.246738	0.00423908	0.249293
NT	700	0.000282546	0.24605	0.00258216	0.248673
NT	800	-0.000568129	0.245276	0.00189022	0.248441
NT	900	-0.0003172	0.245165	0.00224019	0.248989
NT	1000	-0.000641967	0.24481	0.00210861	0.249058
NT	1100	0.00096234	0.245066	0.00374203	0.249799
NT	1200	-0.000505877	0.244263	0.00240095	0.249229
NT	1300	0.000588092	0.244494	0.00359713	0.249619
NT	1400	0.000632199	0.244163	0.00380205	0.249685
NT	1500	-0.000402404	0.243711	0.00281405	0.249318
NT	1600	0.000705858	0.243782	0.00393886	0.249793
NT	1700	-0.00140317	0.24298	0.00208262	0.249464
NT	1800	0.000214246	0.24331	0.00364121	0.249929
NT	1900	-0.000508644	0.243087	0.00294744	0.25003
NT	2000	-0.000397209	0.242835	0.00317839	0.250254
NT	2100	0.000760391	0.242962	0.00448348	0.250683
NT	2200	-0.00143402	0.242276	0.00238848	0.250349
NT	2300	-0.000148793	0.242426	0.00369245	0.250826
NT	2400	-0.00103359	0.241878	0.00283402	0.250362
