Method	Par	Deviation	RMS
NT	50	0.0016149	0.252145
NT	100	0.000493653	0.250521
NT	200	0.00159107	0.249454
NT	300	0.00206712	0.248862
NT	400	0.00204965	0.248256
NT	500	0.001308	0.247694
NT	600	0.00301523	0.248022
NT	700	0.00143236	0.247368
NT	800	0.000661045	0.246866
NT	900	0.000961497	0.247088
NT	1000	0.00073332	0.246947
NT	1100	0.00235219	0.247448
NT	1200	0.000947534	0.246763
NT	1300	0.00209261	0.247074
NT	1400	0.00221713	0.246944
NT	1500	0.00120582	0.246536
NT	1600	0.00232236	0.246811
NT	1700	0.000339722	0.24625
NT	1800	0.00192773	0.246648
NT	1900	0.0012194	0.246589
NT	2000	0.00139059	0.246579
NT	2100	0.00262193	0.246859
NT	2200	0.000477231	0.246353
NT	2300	0.00177183	0.246669
NT	2400	0.000900219	0.246164
