Method	Par	Deviation_train	RMS_train	Deviation_test	RMS_test
SK	0.05	-0.000188096	0.247098	0.00195222	0.248972
SK	0.06	-0.000809658	0.246734	0.0016215	0.248996
SK	0.07	-0.000519787	0.246564	0.00192218	0.249117
SK	0.08	-0.000710413	0.246284	0.00164263	0.248725
SK	0.09	-0.000450767	0.246063	0.00202971	0.249074
SK	0.1	-0.000856771	0.245846	0.0016871	0.248984
SK	0.11	-0.000709163	0.245901	0.00203534	0.249304
SK	0.12	-0.000749124	0.245609	0.00196187	0.249386
SK	0.13	-0.00085191	0.245302	0.00209552	0.249463
SK	0.14	-0.00107272	0.245423	0.00139508	0.24966
SK	0.15	-0.00117965	0.245334	0.00156806	0.25005
SK	0.16	-0.00108523	0.245319	0.00181036	0.250349
SK	0.17	-0.0015142	0.245393	0.000955382	0.250063
SK	0.18	-0.00120311	0.24516	0.00199697	0.250708
SK	0.2	-0.000805187	0.245337	0.00250298	0.251061
SK	0.3	-0.00262597	0.244893	0.000688961	0.251871
SK	0.4	9.29504e-05	0.246571	0.00510679	0.256504
SK	0.5	-0.00176192	0.246204	0.00289891	0.258474
SK	0.6	0.00120687	0.249051	0.00500015	0.261846
SK	0.7	0.00362676	0.250997	0.00748311	0.267185
SK	0.8	0.00231324	0.254638	0.00821196	0.27494
SK	0.9	0.00708474	0.261492	0.0128051	0.286732
SK	1.0	0.00953993	0.271465	0.0177887	0.299723
SK	0.05	-0.000188096	0.247098	0.00195222	0.248972
SK	0.06	-0.000809658	0.246734	0.0016215	0.248996
SK	0.07	-0.000519787	0.246564	0.00192218	0.249117
SK	0.08	-0.000710413	0.246284	0.00164263	0.248725
SK	0.09	-0.000450767	0.246063	0.00202971	0.249074
SK	0.1	-0.000856771	0.245846	0.0016871	0.248984
SK	0.11	-0.000709163	0.245901	0.00203534	0.249304
SK	0.12	-0.000749124	0.245609	0.00196187	0.249386
SK	0.13	-0.00085191	0.245302	0.00209552	0.249463
SK	0.14	-0.00107272	0.245423	0.00139508	0.24966
SK	0.15	-0.00117965	0.245334	0.00156806	0.25005
SK	0.16	-0.00108523	0.245319	0.00181036	0.250349
SK	0.17	-0.0015142	0.245393	0.000955382	0.250063
SK	0.18	-0.00120311	0.24516	0.00199697	0.250708
SK	0.2	-0.000805187	0.245337	0.00250298	0.251061
SK	0.3	-0.00262597	0.244893	0.000688961	0.251871
SK	0.4	9.29504e-05	0.246571	0.00510679	0.256504
SK	0.5	-0.00176192	0.246204	0.00289891	0.258474
SK	0.6	0.00120687	0.249051	0.00500015	0.261846
SK	0.7	0.00362676	0.250997	0.00748311	0.267185
SK	0.8	0.00231324	0.254638	0.00821196	0.27494
SK	0.9	0.00708474	0.261492	0.0128051	0.286732
SK	1.0	0.00953993	0.271465	0.0177887	0.299723
