Method	Shrink	Deviation	RMS
SK	0.05	0.000882063	0.248039
SK	0.06	0.00040592	0.24787
SK	0.07	0.000701196	0.247847
SK	0.08	0.00046611	0.24751
SK	0.09	0.000789471	0.247576
SK	0.1	0.000415163	0.247423
SK	0.11	0.000663087	0.247612
SK	0.12	0.000606374	0.247508
SK	0.13	0.000621803	0.247396
SK	0.14	0.000161182	0.247554
SK	0.15	0.000194204	0.247707
SK	0.16	0.000362564	0.247851
SK	0.17	-0.000279411	0.247742
SK	0.18	0.000396927	0.247954
SK	0.19	0.000142575	0.247875
SK	0.2	0.000848896	0.248221
SK	0.3	-0.000968503	0.248412
SK	0.4	0.00259987	0.251599
SK	0.5	0.000568493	0.252424
SK	0.6	0.00310351	0.255535
SK	0.7	0.00555493	0.259225
SK	0.8	0.0052626	0.265
SK	0.9	0.00994491	0.274417
SK	1.0	0.0136643	0.285973
