Method	Par	Deviation	RMS
SK	0.05	0.000882063	0.248039
SK	0.06	0.00040592	0.24787
SK	0.07	0.000701196	0.247847
SK	0.08	0.00046611	0.24751
SK	0.09	0.000789471	0.247576
SK	0.1	0.000415163	0.247423
SK	0.11	0.000663087	0.247612
SK	0.12	0.000606374	0.247508
SK	0.13	0.000621803	0.247396
SK	0.14	0.000161182	0.247554
SK	0.15	0.000194204	0.247707
SK	0.16	0.000362564	0.247851
SK	0.17	-0.000279411	0.247742
SK	0.18	0.000396927	0.247954
SK	0.19	0.000142575	0.247875
SK	0.2	0.000848896	0.248221
SK	0.3	-0.000968503	0.248412
SK	0.4	0.00259987	0.251599
SK	0.5	0.000568493	0.252424
SK	0.6	0.00310351	0.255535
SK	0.7	0.00555493	0.259225
SK	0.8	0.0052626	0.265
SK	0.9	0.00994491	0.274417
SK	1.0	0.0136643	0.285973
SK	0.1	0.000415163	0.247423
SK	0.1	0.000415163	0.247423
SK	0.1	0.000415163	0.247423
SK	0.1	0.000415163	0.247423
SK	0.1	0.000415163	0.247423
SK	0.1	0.000415163	0.247423
SK	0.05	0.000882063	0.248039
SK	0.06	0.00040592	0.24787
SK	0.07	0.000701196	0.247847
SK	0.08	0.00046611	0.24751
SK	0.09	0.000789471	0.247576
SK	0.1	0.000415163	0.247423
SK	0.11	0.000663087	0.247612
SK	0.12	0.000606374	0.247508
SK	0.13	0.000621803	0.247396
SK	0.14	0.000161182	0.247554
SK	0.15	0.000194204	0.247707
SK	0.16	0.000362564	0.247851
SK	0.17	-0.000279411	0.247742
SK	0.18	0.000396927	0.247954
SK	0.19	0.000142575	0.247875
SK	0.2	0.000848896	0.248221
SK	0.3	-0.000968503	0.248412
SK	0.4	0.00259987	0.251599
SK	0.6	0.00310351	0.255535
SK	0.7	0.00555493	0.259225
SK	0.8	0.0052626	0.265
SK	0.9	0.00994491	0.274417
SK	1.0	0.0136643	0.285973
	1	0.027041	0.401858
	1	0.027041	0.401858
	1	0.027041	0.401858
	1	0.027041	0.401858
	1	0.104107	0.444242
	1	0.104107	0.444242
	1	0.104107	0.444242
F	0.05	0	0
F	0.1	0	0
F	0.05	0	0
F	0.1	0	0
F	0.15	0.352516	1.1507
F	0.2	0.0697116	0.54871
F	0.25	0.079456	0.476634
F	0.3	0.0259693	0.427838
F	0.35	0.0248999	0.39734
F	0.4	0.0357973	0.388135
F	0.45	0.03076	0.377119
F	0.5	0.0228339	0.358704
F	0.55	0.0209321	0.329388
F	0.6	0.0198767	0.31159
F	0.65	0.0130366	0.297144
F	0.7	0.0238038	0.301791
F	0.75	0.0158195	0.292911
F	0.8	0.0160001	0.282338
F	0.85	0.0138341	0.280916
F	0.9	0.0109	0.277923
F	0.95	0.0146204	0.278444
F	1.0	0.0103886	0.273763
F	0.05	0.0201284	0.269919
F	0.1	0.00778409	0.25394
F	0.15	0.00718207	0.252304
F	0.2	0.00328098	0.249844
F	0.25	0.00647345	0.250306
F	0.3	0.00340439	0.248927
F	0.35	0.000729758	0.247876
F	0.4	0.00460174	0.249037
F	0.45	0.00154399	0.248142
F	0.5	0.00343751	0.248508
F	0.55	0.00192937	0.248049
F	0.6	0.000621803	0.247396
F	0.65	0.000510731	0.247015
F	0.7	0.00199787	0.247836
F	0.75	0.0011483	0.247335
F	0.8	0.0019147	0.247882
F	0.85	0.000661045	0.246866
F	0.9	0.000140985	0.246903
F	0.95	0.00137943	0.247464
F	1.0	0.00128634	0.247437
